EMP NO,AGE,MARITAL STATUS,GENDER,EDU_ID,JOB_ID,BUSINESS TRAVEL,CF_ATTRITION LABEL,OVER TIME,DISTANCE FROM HOME,TRAINING TIMES LAST YEAR,HOURLY RATE,DAILY RATE,MONTHLY RATE,MONTHLY INCOME,JOB INVOLVEMENT,JOB SATISFACTION,ENVIRONMENT SATISFACTION,RELATIONSHIP SATISFACTION,PERCENT SALARY HIKE,WORK LIFE BALANCE,PERFORMANCE RATING,NUM COMPANIES WORKED,TOTAL WORKING YEARS,YEARS AT COMPANY,YEARS IN CURRENT ROLE,YEARS SINCE LAST PROMOTION,YEARS WITH CURR MANAGER,DATE JOINED,,,,,,
STAFF-591,33,MARRIED,MALE,18,7,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,7,3,49,213,25995,11691,3,3,3,4,11,4,3,0,14,13,9,3,7,18-08-11,,,,,,
STAFF-592,33,SINGLE,FEMALE,13,10,TRAVEL_RARELY,EX-EMPLOYEES,NO,16,3,69,118,26507,5324,3,1,1,3,15,3,3,5,6,3,2,0,2,13-09-21,,,,,,
STAFF-593,47,MARRIED,FEMALE,22,5,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,2,3,33,202,12982,16752,3,4,3,3,11,2,3,1,26,26,14,3,0,22-12-98,,,,,,
STAFF-594,36,MARRIED,FEMALE,23,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,2,35,676,23361,5228,3,2,3,1,15,3,3,0,10,9,7,0,5,16-03-15,,,,,,
STAFF-595,29,MARRIED,MALE,7,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,23,3,81,1252,23779,2700,4,3,3,3,24,3,4,1,10,10,7,0,7,27-03-14,,,,,,
STAFF-596,58,SINGLE,MALE,9,7,TRAVEL_RARELY,EX-EMPLOYEES,YES,2,2,31,286,25761,19246,3,2,4,4,12,3,3,7,40,31,15,13,8,05-01-93,,,,,,
STAFF-597,35,SINGLE,FEMALE,9,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,0,40,1258,13301,2506,4,3,4,3,13,3,3,3,7,2,2,2,2,23-05-22,,,,,,
STAFF-598,42,MARRIED,FEMALE,7,6,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,1,4,43,932,4051,6062,2,4,4,4,13,3,3,9,8,4,3,0,2,16-03-20,,,,,,
STAFF-599,28,SINGLE,MALE,19,8,TRAVEL_RARELY,EX-EMPLOYEES,NO,2,3,46,890,16374,4382,3,3,3,4,17,2,3,6,5,2,2,2,1,14-09-22,,,,,,
STAFF-600,36,MARRIED,MALE,3,1,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,13,2,36,1041,25527,2143,3,2,3,2,13,3,3,4,8,5,2,0,4,21-01-19,,,,,,
STAFF-601,32,MARRIED,FEMALE,8,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,4,3,98,859,19124,6162,2,3,3,3,12,3,3,1,14,14,13,6,8,07-02-10,,,,,,
STAFF-602,40,SINGLE,MALE,19,4,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,16,6,51,720,11983,5094,2,3,1,4,14,3,3,6,10,1,0,0,0,12-07-23,,,,,,
STAFF-603,30,SINGLE,FEMALE,18,6,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,2,4,52,946,20234,6877,2,4,3,2,24,2,4,5,12,0,0,0,0,21-01-24,,,,,,
STAFF-604,45,SINGLE,FEMALE,8,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,3,95,252,6153,2274,2,3,2,4,14,3,3,1,1,1,0,0,0,03-02-23,,,,,,
STAFF-605,42,MARRIED,MALE,8,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,29,3,98,933,11806,4434,3,2,2,4,13,2,3,1,10,9,8,7,8,26-05-15,,,,,,
STAFF-606,38,DIVORCED,MALE,8,3,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,12,3,45,471,4284,6288,2,1,1,3,15,2,3,2,13,4,3,1,2,24-11-20,,,,,,
STAFF-607,34,SINGLE,FEMALE,9,8,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,16,3,100,702,8306,2553,2,4,3,3,16,3,3,1,6,5,2,1,3,09-07-19,,,,,,
STAFF-608,49,MARRIED,FEMALE,13,10,TRAVEL_RARELY,EX-EMPLOYEES,NO,11,3,43,1184,5860,7654,3,4,3,1,18,4,3,1,9,9,8,7,7,09-02-15,,,,,,
STAFF-609,55,SINGLE,MALE,16,10,TRAVEL_RARELY,EX-EMPLOYEES,NO,2,3,37,436,21519,5160,3,4,3,3,16,2,3,4,12,9,7,7,3,09-09-15,,,,,,
STAFF-610,43,MARRIED,MALE,7,7,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,14,3,94,589,5200,17159,3,1,2,3,24,3,4,6,22,4,1,1,0,12-06-20,,,,,,
STAFF-611,27,DIVORCED,MALE,26,7,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,5,3,42,269,8842,12808,2,4,3,2,16,3,3,1,9,9,8,0,8,15-09-15,,,,,,
STAFF-612,35,SINGLE,MALE,23,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,7,3,59,950,18869,10221,3,3,3,2,21,4,4,3,17,8,5,1,6,12-02-16,,,,,,
STAFF-613,28,MARRIED,FEMALE,14,10,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,2,2,81,760,3698,4779,3,2,2,1,20,3,4,1,8,8,7,7,5,15-03-16,,,,,,
STAFF-614,34,MARRIED,MALE,2,1,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,3,1,88,829,2243,3737,3,4,3,3,19,1,3,0,4,3,2,0,2,27-05-21,,,,,,
STAFF-615,26,MARRIED,FEMALE,17,8,TRAVEL_FREQUENTLY,EX-EMPLOYEES,YES,5,2,88,887,20898,2366,2,3,3,1,14,3,3,1,8,8,7,1,7,14-03-16,,,,,,
STAFF-616,27,MARRIED,MALE,18,8,NON-TRAVEL,CURRENT EMPLOYEES,NO,3,6,50,443,16571,1706,3,4,4,3,11,2,3,1,0,0,0,0,0,07-10-24,,,,,,
STAFF-617,51,MARRIED,FEMALE,14,9,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,26,2,66,1318,5594,16307,3,3,1,3,14,2,3,2,29,20,6,4,17,22-02-04,,,,,,
STAFF-618,44,SINGLE,MALE,18,3,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,4,2,50,625,5197,5933,3,2,4,4,12,2,3,9,10,5,2,2,3,10-02-19,,,,,,
STAFF-619,25,SINGLE,MALE,16,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,3,65,180,21632,3424,4,1,1,3,13,2,3,7,6,4,3,0,1,23-08-20,,,,,,
STAFF-620,33,DIVORCED,MALE,18,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,5,48,586,21816,4037,4,1,1,1,22,3,4,1,9,9,8,0,8,25-09-15,,,,,,
STAFF-621,35,SINGLE,FEMALE,16,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,27,3,53,1343,17852,2559,2,1,3,4,11,2,3,1,6,6,5,1,1,03-03-18,,,,,,
STAFF-622,36,MARRIED,MALE,7,10,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,1,1,56,928,2823,6201,3,4,2,4,14,2,3,1,18,18,14,4,11,25-12-06,,,,,,
STAFF-623,32,DIVORCED,MALE,9,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,13,3,73,117,9250,4403,3,4,2,3,11,2,3,2,8,5,2,0,3,15-07-19,,,,,,
STAFF-624,30,DIVORCED,MALE,9,8,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,5,3,75,1012,2373,3761,2,4,2,2,12,2,3,9,10,5,4,0,3,24-07-19,,,,,,
STAFF-625,53,MARRIED,FEMALE,12,10,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,7,3,78,661,20715,10934,2,4,1,4,18,3,3,7,35,5,2,0,4,07-05-19,,,,,,
STAFF-626,45,DIVORCED,MALE,13,10,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,9,2,74,930,19239,10761,3,1,4,3,12,3,3,4,18,5,4,0,2,02-09-19,,,,,,
STAFF-627,32,MARRIED,FEMALE,17,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,8,3,91,638,22162,5175,4,3,3,3,12,2,3,5,9,5,3,1,3,06-03-19,,,,,,
STAFF-628,52,MARRIED,FEMALE,19,6,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,25,3,81,890,19028,13826,2,4,3,3,22,3,4,3,31,9,8,0,0,23-07-15,,,,,,
STAFF-629,37,DIVORCED,MALE,14,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,16,2,66,342,24558,6334,2,3,4,4,19,3,3,4,9,1,0,0,0,03-06-23,,,,,,
STAFF-630,28,DIVORCED,MALE,17,1,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,8,6,63,1169,23965,4936,2,4,2,4,13,3,3,1,6,5,1,0,4,04-02-19,,,,,,
STAFF-631,22,MARRIED,MALE,7,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,2,33,1230,19146,4775,2,4,4,1,22,1,4,6,4,2,2,2,2,07-06-22,,,,,,
STAFF-632,44,MARRIED,MALE,9,4,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,8,2,62,986,5044,2818,4,4,1,3,24,2,4,2,10,3,2,0,2,09-11-21,,,,,,
STAFF-633,42,SINGLE,MALE,16,8,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,YES,2,2,35,1271,9068,2515,3,4,2,4,14,3,3,5,8,2,1,2,2,22-06-22,,,,,,
STAFF-634,36,MARRIED,MALE,8,1,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,8,3,77,1278,8635,2342,2,1,1,3,21,3,4,0,6,5,4,0,3,04-03-19,,,,,,
STAFF-635,25,MARRIED,MALE,21,10,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,3,3,98,141,14363,4194,3,1,3,4,18,3,3,1,5,5,3,0,3,05-03-19,,,,,,
STAFF-636,35,MARRIED,FEMALE,8,6,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,9,2,66,607,23457,10685,2,3,4,2,20,3,4,1,17,17,14,5,15,14-07-07,,,,,,
STAFF-637,35,DIVORCED,FEMALE,9,8,TRAVEL_FREQUENTLY,EX-EMPLOYEES,YES,25,3,96,130,16612,2022,3,2,4,1,19,2,3,1,10,10,2,7,8,13-08-14,,,,,,
STAFF-638,32,DIVORCED,MALE,8,4,NON-TRAVEL,CURRENT EMPLOYEES,NO,1,2,61,300,9148,2314,3,4,4,2,12,3,3,0,4,3,0,0,2,06-02-21,,,,,,
STAFF-639,25,MARRIED,MALE,11,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,4,1,87,583,18154,4256,2,1,3,1,12,4,3,1,5,5,2,0,3,08-11-19,,,,,,
STAFF-640,49,MARRIED,FEMALE,28,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,2,36,1418,10554,3580,3,1,3,2,16,3,3,2,7,4,2,0,2,17-10-20,,,,,,
STAFF-641,24,MARRIED,MALE,6,4,NON-TRAVEL,CURRENT EMPLOYEES,NO,4,2,46,1269,10778,3162,2,4,1,4,17,2,3,0,6,5,2,3,4,21-10-19,,,,,,
STAFF-642,32,MARRIED,MALE,7,10,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,5,3,48,379,8891,6524,3,2,2,4,14,3,3,1,10,10,8,5,3,16-01-14,,,,,,
STAFF-643,38,MARRIED,MALE,13,11,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,9,3,98,395,12102,2899,2,2,2,4,19,3,3,0,3,2,2,1,2,04-06-22,,,,,,
STAFF-644,42,MARRIED,FEMALE,8,4,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,3,1,95,1265,23726,5231,4,4,3,2,13,2,3,2,17,5,3,1,3,18-05-19,,,,,,
STAFF-645,31,MARRIED,MALE,9,8,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,11,2,48,1222,14871,2356,3,4,4,2,19,3,3,3,8,6,4,0,2,07-04-18,,,,,,
STAFF-646,29,DIVORCED,FEMALE,18,11,TRAVEL_RARELY,EX-EMPLOYEES,YES,1,3,48,341,23522,2800,2,3,2,3,19,3,3,6,5,3,2,0,2,13-10-21,,,,,,
STAFF-647,53,MARRIED,MALE,13,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,8,3,73,868,22789,11836,3,4,1,3,14,3,3,5,28,2,0,2,2,19-02-22,,,,,,
STAFF-648,35,MARRIED,MALE,28,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,25,2,78,672,9129,10903,2,2,4,1,16,3,3,3,16,13,10,4,8,16-10-11,,,,,,
STAFF-649,37,MARRIED,FEMALE,17,11,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,21,3,54,1231,21222,2973,3,4,3,2,15,3,3,5,10,5,4,0,0,28-12-19,,,,,,
STAFF-650,53,SINGLE,FEMALE,9,7,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,23,0,72,102,20206,14275,3,4,4,3,18,3,3,6,33,12,9,3,8,07-10-12,,,,,,
STAFF-651,43,MARRIED,FEMALE,8,3,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,1,2,33,422,21782,5562,3,4,4,2,13,2,3,4,12,5,2,2,2,01-07-19,,,,,,
STAFF-652,47,MARRIED,FEMALE,12,10,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,2,2,35,249,17783,4537,3,4,3,1,22,3,4,0,8,7,6,7,7,05-03-17,,,,,,
STAFF-653,37,SINGLE,MALE,17,10,NON-TRAVEL,CURRENT EMPLOYEES,YES,19,2,32,1252,4814,7642,3,2,1,4,13,3,3,1,10,10,0,0,9,22-09-14,,,,,,
STAFF-654,50,DIVORCED,MALE,9,5,NON-TRAVEL,CURRENT EMPLOYEES,NO,2,3,98,881,4544,17924,3,1,1,4,11,3,3,1,31,31,6,14,7,12-10-93,,,,,,
STAFF-655,39,MARRIED,FEMALE,8,1,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,2,42,1383,7790,5204,2,4,4,3,11,3,3,8,13,5,4,0,4,25-01-19,,,,,,
STAFF-656,33,DIVORCED,MALE,2,1,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,3,4,57,1075,22650,2277,3,2,4,3,11,4,3,3,7,4,3,0,3,23-08-20,,,,,,
STAFF-657,32,SINGLE,MALE,9,4,TRAVEL_RARELY,EX-EMPLOYEES,YES,25,2,87,374,18016,2795,3,4,1,3,24,1,4,1,1,1,0,0,1,08-05-23,,,,,,
STAFF-658,29,DIVORCED,FEMALE,16,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,7,5,62,1086,6054,2532,2,4,1,3,14,3,3,6,8,4,3,0,3,08-01-20,,,,,,
STAFF-659,44,MARRIED,MALE,7,8,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,9,0,61,661,7508,2559,3,1,2,4,13,3,3,1,8,8,7,7,1,07-09-16,,,,,,
STAFF-660,28,SINGLE,MALE,19,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,5,3,98,821,24252,4908,3,4,1,2,14,3,3,1,4,4,2,0,2,12-04-20,,,,,,
STAFF-661,58,DIVORCED,MALE,6,4,TRAVEL_FREQUENTLY,EX-EMPLOYEES,YES,2,3,57,781,13384,2380,2,4,4,4,14,2,3,9,3,1,0,0,0,02-07-23,,,,,,
STAFF-662,43,DIVORCED,FEMALE,8,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,8,2,55,177,23814,4765,3,2,1,3,21,4,4,4,4,1,0,0,0,09-01-23,,,,,,
STAFF-663,20,SINGLE,FEMALE,18,11,TRAVEL_RARELY,EX-EMPLOYEES,NO,2,3,49,500,22052,2044,2,3,3,4,13,2,3,1,2,2,2,0,2,04-02-22,,,,,,
STAFF-664,21,SINGLE,FEMALE,21,8,TRAVEL_RARELY,EX-EMPLOYEES,NO,18,3,65,1427,8870,2693,3,4,4,1,19,2,3,1,1,1,0,0,0,09-10-23,,,,,,
STAFF-665,36,MARRIED,MALE,6,3,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,14,2,68,1425,4821,6586,3,4,3,1,17,2,3,0,17,16,8,4,11,02-12-08,,,,,,
STAFF-666,47,SINGLE,FEMALE,9,11,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,2,3,65,1454,13137,3294,2,4,4,1,18,2,3,1,3,3,2,1,2,04-02-21,,,,,,
STAFF-667,22,MARRIED,FEMALE,6,6,TRAVEL_RARELY,EX-EMPLOYEES,YES,3,3,34,617,10022,4171,3,3,2,1,19,4,3,0,4,3,2,0,2,09-07-21,,,,,,
STAFF-668,41,DIVORCED,FEMALE,9,4,TRAVEL_RARELY,EX-EMPLOYEES,YES,2,1,57,1085,17725,2778,1,4,2,3,13,2,3,4,10,7,7,1,0,08-09-17,,,,,,
STAFF-669,28,DIVORCED,FEMALE,18,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,9,2,77,995,9834,2377,3,3,3,2,18,3,3,5,6,2,2,2,2,10-07-22,,,,,,
STAFF-670,39,MARRIED,MALE,18,4,TRAVEL_RARELY,EX-EMPLOYEES,YES,6,2,70,1122,4303,2404,3,1,4,4,21,1,4,7,8,2,2,2,2,03-02-22,,,,,,
STAFF-671,27,SINGLE,FEMALE,8,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,4,2,76,618,17808,2318,3,3,2,3,19,3,3,1,1,1,1,0,0,28-11-23,,,,,,
STAFF-672,34,DIVORCED,MALE,8,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,10,3,83,546,6896,2008,3,2,2,2,14,3,3,1,1,1,0,1,0,16-07-23,,,,,,
STAFF-673,42,SINGLE,FEMALE,17,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,14,6,68,462,7824,6244,2,3,3,1,17,3,3,7,10,5,4,0,3,15-10-19,,,,,,
STAFF-674,33,SINGLE,MALE,24,8,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,1,1,100,1198,3339,2799,2,1,3,2,11,3,3,3,6,3,2,0,2,13-05-21,,,,,,
STAFF-675,58,DIVORCED,FEMALE,28,3,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,5,3,37,1272,9255,10552,2,2,3,4,13,3,3,2,24,6,0,0,4,05-06-18,,,,,,
STAFF-676,31,MARRIED,MALE,9,11,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,7,2,41,154,11737,2329,2,3,2,2,15,4,3,3,13,7,7,5,2,17-01-17,,,,,,
STAFF-677,35,MARRIED,FEMALE,6,3,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,21,2,51,1137,19170,4014,3,4,4,4,25,1,4,1,10,10,6,0,7,27-08-14,,,,,,
STAFF-678,49,MARRIED,FEMALE,22,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,8,3,51,527,22477,7403,3,2,1,3,11,2,3,4,29,26,9,1,7,04-10-98,,,,,,
STAFF-679,48,MARRIED,MALE,19,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,20,2,51,1469,5543,2259,3,3,4,1,17,2,3,4,13,0,0,0,0,19-07-24,,,,,,
STAFF-680,31,MARRIED,FEMALE,12,10,NON-TRAVEL,CURRENT EMPLOYEES,NO,20,2,45,1188,24406,6932,3,3,4,4,13,2,3,1,9,9,8,0,0,21-04-15,,,,,,
STAFF-681,36,SINGLE,MALE,24,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,7,6,65,188,23293,4678,3,4,2,3,18,3,3,2,8,6,2,0,1,01-01-18,,,,,,
STAFF-682,38,MARRIED,FEMALE,28,7,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,3,80,1333,16292,13582,3,1,4,2,13,3,3,1,15,15,12,5,11,21-06-09,,,,,,
STAFF-683,32,MARRIED,FEMALE,8,4,NON-TRAVEL,CURRENT EMPLOYEES,NO,1,3,70,1184,3974,2332,2,2,3,3,20,3,4,6,5,3,0,0,2,13-07-21,,,,,,
STAFF-684,25,MARRIED,MALE,12,11,TRAVEL_RARELY,EX-EMPLOYEES,YES,19,2,36,867,18798,2413,2,2,3,3,18,3,3,1,1,1,0,0,0,09-07-23,,,,,,
STAFF-685,40,DIVORCED,MALE,14,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,10,2,67,658,20652,9705,2,2,1,2,12,2,3,2,11,1,0,0,0,11-05-23,,,,,,
STAFF-686,26,SINGLE,MALE,18,10,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,1,2,52,1283,11148,4294,2,1,3,2,12,3,3,1,7,7,7,0,7,13-08-17,,,,,,
STAFF-687,41,SINGLE,MALE,18,4,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,6,3,59,263,3119,4721,3,1,4,3,13,3,3,2,20,18,13,2,17,17-03-06,,,,,,
STAFF-688,36,SINGLE,MALE,19,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,6,79,938,12287,2519,3,3,3,3,21,3,4,4,16,11,8,3,9,13-08-13,,,,,,
STAFF-689,19,SINGLE,MALE,23,11,TRAVEL_RARELY,EX-EMPLOYEES,YES,21,3,37,419,9947,2121,2,2,4,2,13,4,3,1,1,1,0,0,0,15-08-23,,,,,,
STAFF-690,20,SINGLE,MALE,28,4,TRAVEL_RARELY,EX-EMPLOYEES,NO,4,2,84,129,13008,2973,3,1,1,2,19,3,3,1,1,1,0,0,0,09-06-23,,,,,,
STAFF-691,31,MARRIED,FEMALE,18,3,TRAVEL_RARELY,CURRENT EMPLOYEES,YES,12,2,41,616,17369,5855,3,4,4,3,11,1,3,0,10,9,7,8,5,20-12-15,,,,,,
STAFF-692,40,DIVORCED,MALE,19,8,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,YES,9,2,35,1469,25063,3617,3,2,4,4,14,3,3,8,3,1,1,0,0,11-06-23,,,,,,
STAFF-693,32,MARRIED,FEMALE,19,6,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,3,2,93,498,13554,6725,3,1,3,3,12,4,3,1,8,8,7,6,3,16-10-16,,,,,,
STAFF-694,36,MARRIED,MALE,6,10,TRAVEL_RARELY,EX-EMPLOYEES,YES,3,6,51,530,5518,10325,2,4,3,1,11,3,3,1,16,16,7,3,7,07-07-08,,,,,,
STAFF-695,33,SINGLE,FEMALE,8,3,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,3,42,1069,12291,6949,2,4,2,1,14,3,3,0,6,5,0,1,4,04-07-19,,,,,,
STAFF-696,37,MARRIED,MALE,9,10,TRAVEL_RARELY,EX-EMPLOYEES,NO,1,2,46,625,14922,10609,2,3,1,3,11,1,3,5,17,14,1,11,7,14-07-10,,,,,,
STAFF-697,45,MARRIED,MALE,7,4,NON-TRAVEL,CURRENT EMPLOYEES,NO,4,5,57,805,23163,4447,3,2,3,2,12,2,3,1,9,9,7,0,8,23-08-15,,,,,,
STAFF-698,29,MARRIED,FEMALE,28,11,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,20,5,84,1404,18203,2157,3,4,3,2,15,3,3,1,3,3,1,0,2,14-11-21,,,,,,
STAFF-699,35,MARRIED,FEMALE,18,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,18,3,86,1219,6179,4601,3,3,3,2,16,3,3,1,5,5,2,1,0,17-11-19,,,,,,
STAFF-700,52,MARRIED,MALE,7,5,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,2,70,1053,13829,17099,3,4,4,2,15,2,3,2,26,9,8,7,8,15-03-15,,,,,,
STAFF-701,58,SINGLE,MALE,28,8,TRAVEL_RARELY,EX-EMPLOYEES,NO,2,4,51,289,26227,2479,3,3,4,1,24,3,4,4,7,1,0,0,0,13-03-23,,,,,,
STAFF-702,53,DIVORCED,MALE,17,9,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,3,45,1376,13938,14852,3,3,3,3,13,4,3,6,22,17,13,15,2,26-03-07,,,,,,
STAFF-703,30,DIVORCED,MALE,22,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,8,2,62,231,9977,7264,3,3,3,1,11,4,3,5,10,8,4,7,7,18-01-16,,,,,,
STAFF-704,38,SINGLE,FEMALE,28,10,NON-TRAVEL,CURRENT EMPLOYEES,YES,10,1,85,152,19899,5666,3,4,3,2,13,3,3,1,6,5,3,1,3,17-01-19,,,,,,
STAFF-705,35,DIVORCED,MALE,9,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,3,2,92,882,6812,7823,3,4,4,2,13,3,3,6,12,10,9,0,8,07-12-14,,,,,,
STAFF-706,39,SINGLE,MALE,10,10,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,2,3,41,903,2560,7880,4,3,1,4,18,3,3,0,9,8,7,0,7,16-11-16,,,,,,
STAFF-707,40,SINGLE,FEMALE,8,10,NON-TRAVEL,EX-EMPLOYEES,YES,24,2,100,1479,17071,13194,4,2,2,4,16,2,3,4,22,1,0,0,0,10-04-23,,,,,,
STAFF-708,47,DIVORCED,MALE,19,6,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,YES,16,3,64,1379,6759,5067,4,3,3,3,19,4,3,1,20,19,10,2,7,15-08-05,,,,,,
STAFF-709,36,DIVORCED,MALE,29,10,NON-TRAVEL,CURRENT EMPLOYEES,NO,8,3,84,1229,25952,5079,3,4,1,4,13,3,3,4,12,7,7,0,7,24-04-17,,,,,,
STAFF-710,31,SINGLE,MALE,17,8,NON-TRAVEL,EX-EMPLOYEES,YES,9,0,46,335,10322,2321,2,1,3,1,22,3,4,0,4,3,2,1,2,01-05-21,,,,,,
STAFF-711,33,SINGLE,MALE,8,9,NON-TRAVEL,CURRENT EMPLOYEES,NO,17,2,38,722,20489,17444,3,3,4,4,11,3,3,1,10,10,8,6,0,15-11-14,,,,,,
STAFF-712,29,SINGLE,FEMALE,8,8,TRAVEL_RARELY,EX-EMPLOYEES,YES,10,5,92,906,11479,2404,2,1,4,3,20,3,4,6,3,0,0,0,0,03-12-24,,,,,,
STAFF-713,33,SINGLE,FEMALE,6,8,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,13,4,53,461,17241,3452,3,4,2,1,18,3,3,3,5,3,2,0,2,26-02-21,,,,,,
STAFF-714,45,DIVORCED,FEMALE,19,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,2,91,974,11005,2270,3,4,4,4,14,3,3,3,8,5,3,0,2,20-09-19,,,,,,
STAFF-715,50,DIVORCED,MALE,17,7,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,1,1,66,1126,6615,17399,3,4,4,3,22,2,4,9,32,5,4,1,3,09-08-19,,,,,,
STAFF-716,33,MARRIED,FEMALE,24,3,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,YES,1,2,84,827,20161,5488,4,2,3,1,13,3,3,1,6,6,5,1,2,11-09-18,,,,,,
STAFF-717,41,DIVORCED,MALE,18,7,TRAVEL_FREQUENTLY,CURRENT EMPLOYEES,NO,9,2,64,840,3735,19419,3,3,1,2,17,4,3,2,21,18,16,0,11,16-04-06,,,,,,
STAFF-718,27,MARRIED,FEMALE,29,4,TRAVEL_RARELY,CURRENT EMPLOYEES,NO,16,2,37,1134,12086,2811,3,2,3,2,14,3,3,9,4,2,2,2,2,17-01-22,,,,,,
STAFF-719,45,MARRIED,MALE,7,4,NON-TRAVEL,CURRENT EMPLOYEES,YES,23,2,42,248,14039,3633,3,1,4,3,15,3,3,1,9,9,8,0,8,09-12-15,,,,,,
