EMP NO,TRAINING CODE
STAFF-686,19
STAFF-687,4
STAFF-687,4
STAFF-687,13
STAFF-688,8
STAFF-688,11
STAFF-688,18
STAFF-688,7
STAFF-688,16
STAFF-688,5
STAFF-691,9
STAFF-691,12
STAFF-692,8
STAFF-692,7
STAFF-693,17
STAFF-693,9
STAFF-695,2
STAFF-695,13
STAFF-695,12
STAFF-697,17
STAFF-697,6
STAFF-697,4
STAFF-697,20
STAFF-697,7
STAFF-698,8
STAFF-698,14
STAFF-698,11
STAFF-698,9
STAFF-698,3
STAFF-699,9
STAFF-699,4
STAFF-699,20
STAFF-700,8
STAFF-700,3
STAFF-702,20
STAFF-702,1
STAFF-702,13
STAFF-703,14
STAFF-703,19
STAFF-704,20
STAFF-705,8
STAFF-705,19
STAFF-706,13
STAFF-706,2
STAFF-706,11
STAFF-708,7
STAFF-708,18
STAFF-708,15
STAFF-709,4
STAFF-709,20
STAFF-709,1
STAFF-711,4
STAFF-711,9
STAFF-713,2
STAFF-713,18
STAFF-713,17
STAFF-713,20
STAFF-714,15
STAFF-714,2
STAFF-715,13
STAFF-716,7
STAFF-716,6
STAFF-717,7
STAFF-717,9
STAFF-718,5
STAFF-718,16
STAFF-719,9
STAFF-719,20
STAFF-722,15
STAFF-722,6
STAFF-724,10
STAFF-724,6
STAFF-724,14
STAFF-725,3
STAFF-725,12
STAFF-725,15
STAFF-725,13
STAFF-725,12
STAFF-725,3
STAFF-727,7
STAFF-728,5
STAFF-728,8
STAFF-729,11
STAFF-729,9
STAFF-730,15
STAFF-730,13
STAFF-730,5
STAFF-731,8
STAFF-731,2
STAFF-731,5
STAFF-731,20
STAFF-734,12
STAFF-734,1
STAFF-735,7
STAFF-735,15
STAFF-735,14
STAFF-737,9
STAFF-737,17
STAFF-737,16
STAFF-738,12
STAFF-738,14
STAFF-738,4
STAFF-738,3
STAFF-738,2
STAFF-738,14
STAFF-739,10
STAFF-739,12
STAFF-739,5
STAFF-740,10
STAFF-740,9
STAFF-741,16
STAFF-741,5
STAFF-741,11
STAFF-741,19
STAFF-742,9
STAFF-742,11
STAFF-742,20
STAFF-743,2
STAFF-743,2
STAFF-743,10
STAFF-743,18
STAFF-743,5
STAFF-744,7
STAFF-744,3
STAFF-744,15
STAFF-744,5
STAFF-746,15
STAFF-746,5
STAFF-746,1
STAFF-747,14
STAFF-747,19
STAFF-747,8
STAFF-748,3
STAFF-751,3
STAFF-751,15
STAFF-752,8
STAFF-752,8
STAFF-752,10
STAFF-754,5
STAFF-754,8
STAFF-755,20
STAFF-755,1
STAFF-756,12
STAFF-756,9
STAFF-756,1
STAFF-756,9
STAFF-757,5
STAFF-757,13
STAFF-758,16
STAFF-758,6
STAFF-759,5
STAFF-760,3
STAFF-760,10
STAFF-760,12
STAFF-761,5
STAFF-761,8
STAFF-764,18
STAFF-764,1
STAFF-765,1
STAFF-765,1
STAFF-765,15
STAFF-765,7
STAFF-765,8
STAFF-766,18
STAFF-766,3
STAFF-767,13
STAFF-767,14
STAFF-768,12
STAFF-768,18
STAFF-768,8
STAFF-769,4
STAFF-769,19
STAFF-769,6
STAFF-770,6
STAFF-770,12
STAFF-770,19
STAFF-770,5
STAFF-770,15
STAFF-772,8
STAFF-772,4
STAFF-772,16
STAFF-772,4
STAFF-773,16
STAFF-773,9
STAFF-773,20
STAFF-773,4
STAFF-774,18
STAFF-774,11
STAFF-775,18
STAFF-775,18
STAFF-775,18
STAFF-776,1
STAFF-776,2
STAFF-776,17
STAFF-776,16
STAFF-776,18
STAFF-779,3
STAFF-779,10
STAFF-782,17
STAFF-782,8
STAFF-783,7
STAFF-784,15
STAFF-784,5
STAFF-784,16
STAFF-785,1
STAFF-785,8
STAFF-785,16
STAFF-785,7
STAFF-786,4
STAFF-786,4
STAFF-786,7
STAFF-786,15
STAFF-786,9
STAFF-786,7
STAFF-787,15
STAFF-787,7
STAFF-787,16
STAFF-787,11
STAFF-788,5
STAFF-788,11
STAFF-788,4
STAFF-788,11
STAFF-789,18
STAFF-789,2
STAFF-789,18
STAFF-789,18
STAFF-791,12
STAFF-791,14
STAFF-794,8
STAFF-794,12
STAFF-794,10
STAFF-794,4
STAFF-794,15
STAFF-795,13
STAFF-796,15
STAFF-796,7
STAFF-796,4
STAFF-796,8
STAFF-796,17
STAFF-800,15
STAFF-800,16
STAFF-800,15
STAFF-803,3
STAFF-803,5
STAFF-803,8
STAFF-804,13
STAFF-804,19
STAFF-805,19
STAFF-805,15
STAFF-805,5
STAFF-806,8
STAFF-806,20
STAFF-807,15
STAFF-807,3
STAFF-807,12
STAFF-807,11
STAFF-808,3
STAFF-808,16
STAFF-809,6
STAFF-810,9
STAFF-810,16
STAFF-810,13
STAFF-811,12
STAFF-811,20
STAFF-811,16
STAFF-812,20
STAFF-812,1
STAFF-813,2
STAFF-815,7
STAFF-815,7
STAFF-816,11
STAFF-816,8
STAFF-816,17
STAFF-816,8
STAFF-816,11
STAFF-816,12
STAFF-817,18
STAFF-817,12
STAFF-819,20
STAFF-819,2
STAFF-819,1
STAFF-819,13
STAFF-820,6
STAFF-820,11
STAFF-821,5
STAFF-821,9
STAFF-821,15
STAFF-822,1
STAFF-822,1
STAFF-822,20
STAFF-823,7
STAFF-823,9
STAFF-823,9
STAFF-824,18
STAFF-824,17
STAFF-825,19
STAFF-825,16
STAFF-825,11
STAFF-826,13
STAFF-826,15
STAFF-827,18
STAFF-827,20
STAFF-828,15
STAFF-828,19
STAFF-831,14
STAFF-831,11
STAFF-831,13
STAFF-831,2
STAFF-833,17
STAFF-833,4
STAFF-835,3
STAFF-835,17
STAFF-835,20
STAFF-836,8
STAFF-836,9
STAFF-838,13
STAFF-838,8
STAFF-838,17
STAFF-840,1
STAFF-840,14
STAFF-840,8
STAFF-841,5
STAFF-841,15
STAFF-842,7
STAFF-842,15
STAFF-844,9
STAFF-844,20
STAFF-845,1
STAFF-845,1
STAFF-845,5
STAFF-846,14
STAFF-846,5
STAFF-846,7
STAFF-847,2
STAFF-847,17
STAFF-848,13
STAFF-848,6
STAFF-848,17
STAFF-849,12
STAFF-849,13
STAFF-851,20
STAFF-851,7
STAFF-851,2
STAFF-852,17
STAFF-852,9
STAFF-853,20
STAFF-853,8
STAFF-853,13
STAFF-853,19
STAFF-853,17
STAFF-854,1
STAFF-854,3
STAFF-854,20
STAFF-854,5
STAFF-855,1
STAFF-855,14
STAFF-856,15
STAFF-856,19
STAFF-857,4
STAFF-857,20
STAFF-859,16
STAFF-859,17
STAFF-859,18
STAFF-859,17
STAFF-859,12
STAFF-859,8
STAFF-860,20
STAFF-860,11
STAFF-862,14
STAFF-862,3
STAFF-863,20
STAFF-863,2
STAFF-863,16
STAFF-864,3
STAFF-864,9
STAFF-866,3
STAFF-866,3
STAFF-866,15
STAFF-867,11
STAFF-867,2
STAFF-868,15
STAFF-868,5
STAFF-868,7
STAFF-869,3
STAFF-869,5
STAFF-870,2
STAFF-870,14
STAFF-871,11
STAFF-871,13
STAFF-873,5
STAFF-873,12
STAFF-873,16
STAFF-874,8
STAFF-874,15
STAFF-874,5
STAFF-874,8
STAFF-875,9
STAFF-875,10
STAFF-875,16
STAFF-875,6
STAFF-876,1
STAFF-876,19
STAFF-876,15
STAFF-877,2
STAFF-877,16
STAFF-878,10
STAFF-878,6
STAFF-878,16
STAFF-879,5
STAFF-879,2
STAFF-879,12
STAFF-880,13
STAFF-880,13
STAFF-880,3
STAFF-881,16
STAFF-881,11
STAFF-882,15
STAFF-882,10
STAFF-883,18
STAFF-883,12
STAFF-884,10
STAFF-884,1
STAFF-884,17
STAFF-884,1
STAFF-884,1
STAFF-885,6
STAFF-885,2
STAFF-886,19
STAFF-886,12
STAFF-886,2
STAFF-886,10
STAFF-887,19
STAFF-887,7
STAFF-888,14
STAFF-888,5
STAFF-888,12
STAFF-888,9
STAFF-888,2
STAFF-888,8
STAFF-889,12
STAFF-889,19
STAFF-889,16
STAFF-889,15
STAFF-889,7
STAFF-889,13
STAFF-890,10
STAFF-890,10
STAFF-890,7
STAFF-891,1
STAFF-891,12
STAFF-892,3
STAFF-892,9
STAFF-892,19
STAFF-892,16
STAFF-892,18
STAFF-894,3
STAFF-894,3
STAFF-894,3
STAFF-894,4
STAFF-894,9
STAFF-895,8
STAFF-895,16
STAFF-896,11
STAFF-896,7
STAFF-897,11
STAFF-897,16
STAFF-898,13
STAFF-898,9
STAFF-899,18
STAFF-899,13
STAFF-900,3
STAFF-900,8
STAFF-901,16
STAFF-901,3
STAFF-902,10
STAFF-902,20
STAFF-902,11
STAFF-902,18
STAFF-903,5
STAFF-903,18
STAFF-904,11
STAFF-904,11
STAFF-905,2
STAFF-905,9
STAFF-905,2
STAFF-906,15
STAFF-906,2
STAFF-907,9
STAFF-907,14
STAFF-907,12
STAFF-907,18
STAFF-907,12
STAFF-908,13
STAFF-908,11
STAFF-908,14
STAFF-908,13
STAFF-908,15
STAFF-909,8
STAFF-909,18
STAFF-909,12
STAFF-910,2
STAFF-910,3
STAFF-911,8
STAFF-911,4
STAFF-913,15
STAFF-913,9
STAFF-915,8
STAFF-915,17
STAFF-915,18
STAFF-917,1
STAFF-917,18
STAFF-918,7
STAFF-918,15
STAFF-918,20
STAFF-919,5
STAFF-919,11
STAFF-919,1
STAFF-919,10
STAFF-919,12
STAFF-920,8
STAFF-920,19
STAFF-920,9
STAFF-920,5
STAFF-920,13
STAFF-920,12
STAFF-921,2
STAFF-921,2
STAFF-922,1
STAFF-922,20
STAFF-923,15
STAFF-923,14
STAFF-923,10
STAFF-923,18
STAFF-924,18
STAFF-924,6
STAFF-924,13
STAFF-924,17
STAFF-924,17
STAFF-925,14
STAFF-925,10
STAFF-925,17
STAFF-926,10
STAFF-926,12
STAFF-927,15
STAFF-927,15
STAFF-927,12
STAFF-928,7
STAFF-928,20
STAFF-930,13
STAFF-930,13
STAFF-931,7
STAFF-931,8
STAFF-931,11
STAFF-931,11
STAFF-931,3
STAFF-931,8
STAFF-932,15
STAFF-932,19
STAFF-932,10
STAFF-934,6
STAFF-934,16
STAFF-935,5
STAFF-935,12
STAFF-935,7
STAFF-936,4
STAFF-936,15
STAFF-936,16
STAFF-936,18
STAFF-937,6
STAFF-937,15
STAFF-937,9
STAFF-937,3
STAFF-938,16
STAFF-938,6
STAFF-938,10
STAFF-938,2
STAFF-939,3
STAFF-939,8
STAFF-939,4
STAFF-942,9
STAFF-942,6
STAFF-942,5
STAFF-942,18
STAFF-942,6
STAFF-942,9
STAFF-944,8
STAFF-944,4
STAFF-944,19
STAFF-945,20
STAFF-945,4
STAFF-945,3
STAFF-945,1
STAFF-945,5
STAFF-945,7
STAFF-946,10
STAFF-946,19
STAFF-949,4
STAFF-949,3
STAFF-950,7
STAFF-950,20
STAFF-950,13
STAFF-950,11
STAFF-950,9
STAFF-950,11
STAFF-951,13
STAFF-951,6
STAFF-951,1
STAFF-951,17
STAFF-951,6
STAFF-952,2
STAFF-952,11
STAFF-952,17
STAFF-952,3
STAFF-955,19
STAFF-955,3
STAFF-955,14
STAFF-956,17
STAFF-956,14
STAFF-956,8
STAFF-956,7
STAFF-956,14
STAFF-957,14
STAFF-957,11
STAFF-957,16
STAFF-957,16
STAFF-960,3
STAFF-960,20
STAFF-960,1
STAFF-960,18
STAFF-961,16
STAFF-961,20
STAFF-962,18
STAFF-962,16
STAFF-962,4
STAFF-963,13
STAFF-963,11
STAFF-964,19
STAFF-964,8
STAFF-964,10
STAFF-965,1
STAFF-965,11
STAFF-965,3
STAFF-965,20
STAFF-965,10
STAFF-965,14
STAFF-966,5
STAFF-966,5
STAFF-966,13
STAFF-966,1
STAFF-966,6
STAFF-966,17
STAFF-968,9
STAFF-968,2
STAFF-968,14
STAFF-969,20
STAFF-969,4
STAFF-970,5
STAFF-970,12
STAFF-971,5
STAFF-971,3
STAFF-971,15
STAFF-971,19
STAFF-972,13
STAFF-973,1
STAFF-973,6
STAFF-973,10
STAFF-973,10
STAFF-973,7
STAFF-975,7
STAFF-975,15
STAFF-975,6
STAFF-978,15
STAFF-978,14
STAFF-980,20
STAFF-983,7
STAFF-983,8
STAFF-984,17
STAFF-984,4
STAFF-987,2
STAFF-987,16
STAFF-988,17
STAFF-988,14
STAFF-988,9
STAFF-988,7
STAFF-988,7
STAFF-989,16
STAFF-989,13
STAFF-989,14
STAFF-989,1
STAFF-990,7
STAFF-990,16
STAFF-991,11
STAFF-991,12
STAFF-992,10
STAFF-992,20
STAFF-992,17
STAFF-993,9
STAFF-993,14
STAFF-994,16
STAFF-994,14
STAFF-994,16
STAFF-995,5
STAFF-995,12
STAFF-995,18
STAFF-996,15
STAFF-996,15
STAFF-996,2
STAFF-997,9
STAFF-997,11
STAFF-997,3
STAFF-999,5
STAFF-999,8
STAFF-1000,4
STAFF-1000,1
STAFF-1000,8
STAFF-1000,1
STAFF-1000,19
STAFF-1001,4
STAFF-1001,7
STAFF-1001,13
STAFF-1001,14
STAFF-1001,6
STAFF-1001,19
STAFF-1002,8
STAFF-1002,15
STAFF-1002,8
STAFF-1002,19
STAFF-1002,19
STAFF-1002,15
STAFF-1003,5
STAFF-1003,16
STAFF-1003,14
STAFF-1003,1
STAFF-1003,4
STAFF-1004,8
STAFF-1004,17
STAFF-1004,18
STAFF-1005,6
STAFF-1005,13
STAFF-1005,17
STAFF-1005,17
STAFF-1006,1
STAFF-1007,13
STAFF-1007,12
STAFF-1008,19
STAFF-1008,19
STAFF-1009,3
STAFF-1009,2
STAFF-1009,16
STAFF-1010,13
STAFF-1010,14
STAFF-1010,8
STAFF-1011,13
STAFF-1011,12
STAFF-1011,20
STAFF-1011,20
STAFF-1012,10
STAFF-1012,16
STAFF-1013,4
STAFF-1013,5
STAFF-1014,14
STAFF-1014,14
STAFF-1014,2
STAFF-1015,19
STAFF-1015,19
STAFF-1016,15
STAFF-1016,20
STAFF-1016,12
STAFF-1017,17
STAFF-1017,9
STAFF-1018,7
STAFF-1018,4
STAFF-1018,17
STAFF-1018,8
STAFF-1019,9
STAFF-1019,2
STAFF-1019,9
STAFF-1020,8
STAFF-1020,4
STAFF-1020,20
STAFF-1021,2
STAFF-1021,3
STAFF-1022,10
STAFF-1022,9
STAFF-1022,9
STAFF-1024,20
STAFF-1024,1
STAFF-1024,8
STAFF-1025,13
STAFF-1025,20
STAFF-1025,19
STAFF-1026,13
STAFF-1026,20
STAFF-1027,2
STAFF-1027,14
STAFF-1028,11
STAFF-1028,1
STAFF-1028,7
STAFF-1029,18
STAFF-1029,7
STAFF-1029,5
STAFF-1030,16
STAFF-1030,8
STAFF-1030,3
STAFF-1030,16
STAFF-1030,10
STAFF-1031,7
STAFF-1031,1
STAFF-1032,11
STAFF-1032,14
STAFF-1033,12
STAFF-1033,16
STAFF-1033,15
STAFF-1035,16
STAFF-1035,12
STAFF-1036,20
STAFF-1036,7
STAFF-1036,19
STAFF-1037,4
STAFF-1037,16
STAFF-1038,4
STAFF-1038,12
STAFF-1038,18
STAFF-1039,8
STAFF-1039,2
STAFF-1039,12
STAFF-1039,8
STAFF-1039,16
STAFF-1040,7
STAFF-1040,2
STAFF-1040,18
STAFF-1040,10
STAFF-1040,17
STAFF-1041,15
STAFF-1041,15
STAFF-1041,2
STAFF-1042,6
STAFF-1042,15
STAFF-1042,9
STAFF-1043,20
STAFF-1043,11
STAFF-1044,3
STAFF-1044,10
STAFF-1045,3
STAFF-1045,8
STAFF-1045,19
STAFF-1046,7
STAFF-1046,16
STAFF-1046,10
STAFF-1046,9
STAFF-1046,10
STAFF-1047,10
STAFF-1047,2
STAFF-1048,19
STAFF-1048,14
STAFF-1049,15
STAFF-1049,2
STAFF-1050,15
STAFF-1050,15
STAFF-1051,15
STAFF-1051,20
STAFF-1051,2
STAFF-1051,20
STAFF-1051,15
STAFF-1051,10
STAFF-1052,15
STAFF-1052,6
STAFF-1053,9
STAFF-1053,10
STAFF-1054,11
STAFF-1054,4
STAFF-1054,12
STAFF-1054,2
STAFF-1054,19
STAFF-1054,2
STAFF-1055,15
STAFF-1055,1
STAFF-1055,3
STAFF-1056,13
STAFF-1056,17
STAFF-1057,10
STAFF-1057,11
STAFF-1057,17
STAFF-1058,8
STAFF-1058,10
STAFF-1058,4
STAFF-1058,1
STAFF-1058,4
STAFF-1058,6
STAFF-1059,17
STAFF-1059,20
STAFF-1059,7
STAFF-1060,3
STAFF-1060,9
STAFF-1060,5
STAFF-1061,5
STAFF-1061,1
STAFF-1062,11
STAFF-1062,14
STAFF-1062,2
STAFF-1063,19
STAFF-1063,6
STAFF-1063,13
STAFF-1064,2
STAFF-1064,17
STAFF-1064,18
STAFF-1064,19
STAFF-1064,8
STAFF-1065,5
STAFF-1065,16
STAFF-1065,15
STAFF-1066,5
STAFF-1066,16
STAFF-1066,12
STAFF-1067,1
STAFF-1067,19
STAFF-1068,2
STAFF-1068,6
STAFF-1068,9
STAFF-1069,13
STAFF-1069,2
STAFF-1069,11
STAFF-1069,15
STAFF-1069,6
STAFF-1070,17
STAFF-1070,6
STAFF-1071,10
STAFF-1071,19
STAFF-1071,18
STAFF-1072,7
STAFF-1072,2
STAFF-1073,15
STAFF-1074,13
STAFF-1074,8
STAFF-1075,6
STAFF-1075,8
STAFF-1076,18
STAFF-1076,11
STAFF-1076,8
STAFF-1076,10
STAFF-1077,2
STAFF-1077,8
STAFF-1077,3
STAFF-1078,1
STAFF-1078,8
STAFF-1079,5
STAFF-1079,5
STAFF-1079,12
STAFF-1080,16
STAFF-1080,11
STAFF-1081,10
STAFF-1081,8
STAFF-1081,3
STAFF-1082,16
STAFF-1082,16
STAFF-1083,6
STAFF-1083,14
STAFF-1084,1
STAFF-1084,13
STAFF-1084,12
STAFF-1085,7
STAFF-1085,7
STAFF-1085,10
STAFF-1086,5
STAFF-1086,5
STAFF-1086,15
STAFF-1086,20
STAFF-1086,6
STAFF-1087,18
STAFF-1087,15
STAFF-1087,17
STAFF-1087,4
STAFF-1087,20
STAFF-1088,8
STAFF-1088,13
STAFF-1088,3
STAFF-1088,14
STAFF-1088,17
STAFF-1089,13
STAFF-1089,10
STAFF-1089,16
STAFF-1090,15
STAFF-1090,15
STAFF-1091,13
STAFF-1091,4
STAFF-1091,6
STAFF-1092,19
STAFF-1092,1
STAFF-1093,3
STAFF-1093,16
STAFF-1093,2
STAFF-1094,4
STAFF-1095,2
STAFF-1095,13
STAFF-1096,4
STAFF-1096,5
STAFF-1096,8
STAFF-1097,11
STAFF-1097,5
STAFF-1097,1
STAFF-1097,13
STAFF-1098,7
STAFF-1098,10
STAFF-1098,5
STAFF-1098,20
STAFF-1098,20
STAFF-1098,2
STAFF-1099,12
STAFF-1099,6
STAFF-1099,4
STAFF-1099,6
STAFF-1099,3
STAFF-1100,20
STAFF-1100,13
STAFF-1101,18
STAFF-1101,15
STAFF-1102,8
STAFF-1102,18
STAFF-1103,7
STAFF-1103,12
STAFF-1104,5
STAFF-1104,19
STAFF-1104,20
STAFF-1104,10
STAFF-1105,9
STAFF-1105,12
STAFF-1105,17
STAFF-1106,4
STAFF-1106,13
STAFF-1107,3
STAFF-1107,8
STAFF-1108,10
STAFF-1108,16
STAFF-1108,1
STAFF-1109,18
STAFF-1109,7
STAFF-1109,19
STAFF-1109,18
STAFF-1109,2
STAFF-1110,15
STAFF-1110,10
STAFF-1110,6
STAFF-1111,15
STAFF-1111,18
STAFF-1112,1
STAFF-1112,14
STAFF-1113,10
STAFF-1113,7
STAFF-1113,6
STAFF-1114,3
STAFF-1114,11
STAFF-1114,6
STAFF-1115,20
STAFF-1115,7
STAFF-1116,18
STAFF-1116,17
STAFF-1116,5
STAFF-1117,14
STAFF-1117,1
STAFF-1117,4
STAFF-1118,13
STAFF-1118,13
STAFF-1119,11
STAFF-1119,5
STAFF-1121,4
STAFF-1121,16
STAFF-1121,13
STAFF-1122,1
STAFF-1122,20
STAFF-1122,11
STAFF-1123,10
STAFF-1123,18
STAFF-1124,9
STAFF-1124,15
STAFF-1124,5
STAFF-1124,10
STAFF-1124,19
STAFF-1124,14
STAFF-1125,2
STAFF-1125,8
STAFF-1125,5
STAFF-1126,13
STAFF-1126,8
STAFF-1126,2
STAFF-1127,2
STAFF-1128,4
STAFF-1128,18
STAFF-1128,12
STAFF-1129,1
STAFF-1129,1
STAFF-1129,17
STAFF-1130,3
STAFF-1130,3
STAFF-1130,20
STAFF-1131,12
STAFF-1131,12
STAFF-1131,10
STAFF-1132,5
STAFF-1132,20
STAFF-1132,11
STAFF-1132,8
STAFF-1133,20
STAFF-1133,10
STAFF-1133,1
STAFF-1134,9
STAFF-1134,9
STAFF-1136,3
STAFF-1136,15
STAFF-1136,10
STAFF-1136,5
STAFF-1136,13
STAFF-1136,4
STAFF-1137,7
STAFF-1137,6
STAFF-1138,14
STAFF-1138,2
STAFF-1138,13
STAFF-1139,7
STAFF-1139,14
STAFF-1140,15
STAFF-1140,8
STAFF-1140,14
STAFF-1140,6
STAFF-1140,5
STAFF-1141,10
STAFF-1141,3
STAFF-1141,12
STAFF-1142,6
STAFF-1142,19
STAFF-1143,7
STAFF-1143,10
STAFF-1143,8
STAFF-1143,5
STAFF-1144,17
STAFF-1144,10
STAFF-1144,16
STAFF-1145,19
STAFF-1145,16
STAFF-1145,10
STAFF-1146,12
STAFF-1146,4
STAFF-1146,8
STAFF-1146,15
STAFF-1146,18
STAFF-1147,13
STAFF-1148,8
STAFF-1148,9
STAFF-1149,1
STAFF-1149,18
STAFF-1149,17
STAFF-1150,12
STAFF-1150,12
STAFF-1151,14
STAFF-1151,10
STAFF-1151,1
STAFF-1152,10
STAFF-1152,12
STAFF-1152,16
STAFF-1153,16
STAFF-1153,18
STAFF-1153,5
STAFF-1153,3
STAFF-1156,10
STAFF-1156,5
STAFF-1156,8
STAFF-1156,16
STAFF-1157,14
STAFF-1157,11
STAFF-1157,4
STAFF-1158,11
STAFF-1158,9
STAFF-1158,13
STAFF-1159,5
STAFF-1159,19
STAFF-1159,3
STAFF-1160,4
STAFF-1160,17
STAFF-1160,19
STAFF-1160,11
STAFF-1161,13
STAFF-1161,10
STAFF-1161,11
STAFF-1161,10
STAFF-1162,18
STAFF-1162,13
STAFF-1163,12
STAFF-1163,13
STAFF-1163,16
STAFF-1164,15
STAFF-1164,3
STAFF-1165,11
STAFF-1165,12
STAFF-1166,1
STAFF-1166,7
STAFF-1167,6
STAFF-1167,4
STAFF-1167,11
STAFF-1168,2
STAFF-1168,19
STAFF-1169,12
STAFF-1169,10
STAFF-1169,7
STAFF-1170,7
STAFF-1170,19
STAFF-1171,18
STAFF-1171,14
STAFF-1171,4
STAFF-1172,10
STAFF-1172,13
STAFF-1172,1
STAFF-1172,20
STAFF-1172,16
STAFF-1172,9
STAFF-1173,19
STAFF-1173,17
STAFF-1173,9
STAFF-1173,16
STAFF-1173,8
STAFF-1175,16
STAFF-1176,12
STAFF-1176,10
STAFF-1177,18
STAFF-1177,6
STAFF-1178,18
STAFF-1178,17
STAFF-1179,12
STAFF-1179,14
STAFF-1179,4
STAFF-1180,5
STAFF-1180,10
STAFF-1180,7
STAFF-1181,4
STAFF-1181,8
STAFF-1181,2
STAFF-1182,2
STAFF-1182,12
STAFF-1183,1
STAFF-1183,13
STAFF-1184,13
STAFF-1184,19
STAFF-1184,15
STAFF-1185,3
STAFF-1185,9
STAFF-1185,1
STAFF-1185,5
STAFF-1185,10
STAFF-1186,16
STAFF-1186,19
STAFF-1186,1
STAFF-1187,2
STAFF-1187,7
STAFF-1187,20
STAFF-1187,5
STAFF-1187,16
STAFF-1188,13
STAFF-1188,13
STAFF-1188,7
STAFF-1189,8
STAFF-1189,1
STAFF-1189,1
STAFF-1189,1
STAFF-1189,19
STAFF-1189,6
STAFF-1190,1
STAFF-1190,16
STAFF-1190,10
STAFF-1191,19
STAFF-1192,5
STAFF-1192,5
STAFF-1192,4
STAFF-1192,3
STAFF-1192,1
STAFF-1193,8
STAFF-1194,4
STAFF-1194,17
STAFF-1194,1
STAFF-1195,9
STAFF-1196,15
STAFF-1196,13
STAFF-1197,18
STAFF-1197,10
STAFF-1198,2
STAFF-1198,4
STAFF-1198,5
STAFF-1199,1
STAFF-1199,16
STAFF-1200,17
STAFF-1200,18
STAFF-1200,4
STAFF-1201,20
STAFF-1201,19
STAFF-1202,20
STAFF-1202,20
STAFF-1203,15
STAFF-1203,4
STAFF-1203,16
STAFF-1204,7
STAFF-1204,13
STAFF-1204,15
STAFF-1204,11
STAFF-1204,2
STAFF-1204,12
STAFF-1205,3
STAFF-1205,7
STAFF-1206,1
STAFF-1206,14
STAFF-1207,3
STAFF-1207,13
STAFF-1207,20
STAFF-1208,17
STAFF-1208,13
STAFF-1209,3
STAFF-1209,5
STAFF-1209,19
STAFF-1209,2
STAFF-1210,5
STAFF-1210,10
STAFF-1211,14
STAFF-1211,19
STAFF-1211,8
STAFF-1211,16
STAFF-1212,19
STAFF-1212,6
STAFF-1213,1
STAFF-1213,19
STAFF-1214,1
STAFF-1214,7
STAFF-1214,1
STAFF-1214,11
STAFF-1214,2
STAFF-1215,12
STAFF-1215,7
STAFF-1215,1
STAFF-1216,1
STAFF-1216,19
STAFF-1217,9
STAFF-1217,14
STAFF-1217,11
STAFF-1217,15
STAFF-1217,10
STAFF-1217,6
STAFF-1218,4
STAFF-1218,8
STAFF-1218,10
STAFF-1219,20
STAFF-1219,10
STAFF-1220,20
STAFF-1220,13
STAFF-1221,10
STAFF-1221,10
STAFF-1222,19
STAFF-1222,8
STAFF-1222,7
STAFF-1223,10
STAFF-1223,11
STAFF-1224,12
STAFF-1224,3
STAFF-1225,1
STAFF-1225,7
STAFF-1225,5
STAFF-1225,18
STAFF-1226,8
STAFF-1226,5
STAFF-1226,11
STAFF-1227,14
STAFF-1227,2
STAFF-1227,11
STAFF-1228,11
STAFF-1228,9
STAFF-1229,4
STAFF-1229,17
STAFF-1229,17
STAFF-1229,19
STAFF-1229,17
STAFF-1229,4
STAFF-1230,14
STAFF-1230,18
STAFF-1231,6
STAFF-1231,19
STAFF-1231,17
STAFF-1231,9
STAFF-1231,5
STAFF-1232,14
STAFF-1232,11
STAFF-1233,12
STAFF-1233,9
STAFF-1233,9
STAFF-1233,11
STAFF-1233,18
STAFF-1234,5
STAFF-1234,13
STAFF-1235,14
STAFF-1235,18
STAFF-1235,1
STAFF-1236,1
STAFF-1236,16
STAFF-1236,7
STAFF-1236,18
STAFF-1236,7
STAFF-1237,9
STAFF-1237,2
STAFF-1237,17
STAFF-1238,14
STAFF-1238,18
STAFF-1238,15
STAFF-1238,17
STAFF-1238,5
STAFF-1239,15
STAFF-1239,18
STAFF-1239,4
STAFF-1239,10
STAFF-1239,7
STAFF-1239,9
STAFF-1240,3
STAFF-1241,7
STAFF-1241,2
STAFF-1241,20
STAFF-1242,20
STAFF-1242,1
STAFF-1243,11
STAFF-1243,6
STAFF-1244,12
STAFF-1244,15
STAFF-1244,7
STAFF-1245,16
STAFF-1245,4
STAFF-1245,4
STAFF-1246,16
STAFF-1246,20
STAFF-1247,6
STAFF-1247,16
STAFF-1247,11
STAFF-1248,9
STAFF-1248,13
STAFF-1248,4
STAFF-1249,2
STAFF-1249,9
STAFF-1249,8
STAFF-1250,5
STAFF-1250,19
STAFF-1251,8
STAFF-1252,1
STAFF-1252,13
STAFF-1252,2
STAFF-1253,19
STAFF-1253,20
STAFF-1254,15
STAFF-1254,5
STAFF-1254,2
STAFF-1255,17
STAFF-1255,12
STAFF-1255,4
STAFF-1256,8
STAFF-1256,19
STAFF-1256,20
STAFF-1257,9
STAFF-1257,15
STAFF-1258,20
STAFF-1258,10
STAFF-1259,4
STAFF-1259,2
STAFF-1259,1
STAFF-1259,17
STAFF-1260,1
STAFF-1260,18
STAFF-1261,15
STAFF-1261,6
STAFF-1261,19
STAFF-1262,16
